test_case,n,log_n,alpha,algorithm,search_worst,search_average,height_worst,height_average,insert_worst,insert_average,delete_worst,delete_average,insert_all_worst,insert_all_average,delete_all_worst,delete_all_average,height0_worst,height0_average
test_1_4.txt,15,4,0.1,BST,8,4.41605,7,5.88,8,6.04444,8,5.73333,7,4.4,6,4.06667,6,3.86667
test_1_4.txt,15,4,0.1,AVL,5,3.37901,4,3.94444,14,10.6,9,7.82222,12,8.33333,9,5.33333,4,2.46667
test_1_4.txt,15,4,0.1,Treap,10,3.86296,9,5.51111,11,6.93333,8,5.28889,10,4.93333,9,4.4,4,3.33333
test_1_4.txt,15,4,0.1,Splay,21,7.54321,10,6.04667,21,10.8667,18,8.02222,15,7.53333,11,4.86667,5,3.66667
test_1_4.txt,15,4,0.2,BST,7,3.88472,6,5.26889,7,5.35556,7,4.97778,7,4.4,6,3.33333,6,3.86667
test_1_4.txt,15,4,0.2,AVL,5,3.39028,4,3.96333,14,10.2778,9,7.65556,12,8.33333,9,5.33333,4,2.46667
test_1_4.txt,15,4,0.2,Treap,8,3.90694,7,5.43778,13,7.04444,8,5.3,10,4.93333,7,3.93333,4,3.33333
test_1_4.txt,15,4,0.2,Splay,23,7.37778,11,6.03111,19,10.1556,17,7.58889,15,7.53333,14,5.53333,5,3.66667
test_1_4.txt,15,4,0.3,BST,7,3.87619,6,5.10778,7,5.34074,7,4.88889,7,4.4,5,3.2,6,3.86667
test_1_4.txt,15,4,0.3,AVL,5,3.44762,4,3.92,14,10.3333,9,7.56296,12,8.33333,8,5.13333,4,2.46667
test_1_4.txt,15,4,0.3,Treap,12,4.37778,12,6.47222,17,7.9037,13,6.34074,10,4.93333,9,5,4,3.33333
test_1_4.txt,15,4,0.3,Splay,19,7.19683,11,6.03667,17,9.75556,19,7.67407,15,7.53333,10,4.33333,5,3.66667
test_1_4.txt,15,4,0.4,BST,9,3.81852,8,5.32667,9,5.35,8,4.93333,7,4.4,5,3.2,6,3.86667
test_1_4.txt,15,4,0.4,AVL,5,3.29074,4,3.86444,14,10.3056,9,7.59444,12,8.33333,8,5.33333,4,2.46667
test_1_4.txt,15,4,0.4,Treap,9,4.32037,9,6.07556,15,7.73333,9,5.86667,10,4.93333,8,4.26667,4,3.33333
test_1_4.txt,15,4,0.4,Splay,19,7.34444,11,5.97333,17,10.3111,19,7.81111,15,7.53333,11,5.33333,5,3.66667
test_1_4.txt,15,4,0.5,BST,9,3.96444,9,5.43889,10,5.57778,9,4.98667,7,4.4,5,3,6,3.86667
test_1_4.txt,15,4,0.5,AVL,5,3.30667,4,3.84111,14,10.2489,9,7.63556,12,8.33333,7,5.13333,4,2.46667
test_1_4.txt,15,4,0.5,Treap,9,4.23333,9,5.88333,16,7.69333,10,5.76,10,4.93333,9,4.53333,4,3.33333
test_1_4.txt,15,4,0.5,Splay,19,7.44444,11,6.01556,21,10.0756,16,7.92889,15,7.53333,10,4.26667,5,3.66667
test_1_4.txt,15,4,0.6,BST,9,4,8,5.71778,9,5.5,9,4.91111,7,4.4,7,4.33333,6,3.86667
test_1_4.txt,15,4,0.6,AVL,5,3.38611,4,3.89889,14,10.5593,9,7.61852,12,8.33333,9,5.4,4,2.46667
test_1_4.txt,15,4,0.6,Treap,9,4.24722,9,6.09111,17,7.8037,9,5.84074,10,4.93333,6,3.6,4,3.33333
test_1_4.txt,15,4,0.6,Splay,19,7.38889,11,6.13444,19,10.0519,18,7.92593,15,7.53333,9,5,5,3.66667
test_1_4.txt,15,4,0.7,BST,9,4.03333,9,5.61444,10,5.65079,10,5.00952,7,4.4,7,3.53333,6,3.86667
test_1_4.txt,15,4,0.7,AVL,5,3.47778,4,3.9,14,10.6571,9,7.71429,12,8.33333,7,5.2,4,2.46667
test_1_4.txt,15,4,0.7,Treap,9,4.05556,8,5.59111,16,6.93968,9,5.48889,10,4.93333,8,4.06667,4,3.33333
test_1_4.txt,15,4,0.7,Splay,19,7.19259,11,6.07556,23,9.95238,19,7.89841,15,7.53333,11,5.4,5,3.66667
test_1_4.txt,15,4,0.8,BST,7,3.81111,8,5.31556,9,5.28611,9,4.86944,7,4.4,6,4.13333,6,3.86667
test_1_4.txt,15,4,0.8,AVL,5,3.4,4,3.88333,14,10.5111,9,7.625,12,8.33333,7,5.26667,4,2.46667
test_1_4.txt,15,4,0.8,Treap,10,4.33889,10,6.11222,15,7.23889,11,5.86389,10,4.93333,10,6.06667,4,3.33333
test_1_4.txt,15,4,0.8,Splay,21,7.15556,11,6.10556,21,9.86667,19,7.83611,15,7.53333,14,5.66667,5,3.66667
test_1_4.txt,15,4,0.9,BST,8,4.13333,8,5.28333,9,5.40247,9,5.05926,7,4.4,5,3.4,6,3.86667
test_1_4.txt,15,4,0.9,AVL,5,3.25556,4,3.88556,14,10.4494,9,7.74074,12,8.33333,8,5.2,4,2.46667
test_1_4.txt,15,4,0.9,Treap,8,4.34444,9,5.7,17,7.24691,10,5.62469,10,4.93333,5,3.73333,4,3.33333
test_1_4.txt,15,4,0.9,Splay,21,7.53333,11,6.12667,21,10.1605,18,7.95309,15,7.53333,11,5.06667,5,3.66667
test_1_5.txt,31,5,0.1,BST,10,5.33931,9,7.61774,10,7.13978,10,6.6129,9,5.87097,7,4.32258,8,5.83871
test_1_5.txt,31,5,0.1,AVL,6,4.28017,5,5,16,12.957,11,9.64516,16,10.1935,11,7.29032,5,3.54839
test_1_5.txt,31,5,0.1,Treap,12,4.97133,11,7.61828,15,8.39785,11,6.64516,11,6.25806,7,4.70968,8,4.45161
test_1_5.txt,31,5,0.1,Splay,29,10.0323,16,8.54624,25,12.9785,22,10.8387,17,10.0323,18,7.45161,8,5.67742
test_1_5.txt,31,5,0.2,BST,11,5.04906,10,7.65054,11,6.87634,11,6.24731,9,5.87097,9,4.35484,8,5.83871
test_1_5.txt,31,5,0.2,AVL,6,4.34812,5,5,16,12.7473,11,9.56989,16,10.1935,11,7.22581,5,3.54839
test_1_5.txt,31,5,0.2,Treap,12,5.34005,12,8.53226,20,8.65591,14,7.10753,11,6.25806,9,5.25806,8,4.45161
test_1_5.txt,31,5,0.2,Splay,29,9.87097,14,8.52957,25,13.1075,22,10.2419,17,10.0323,21,7.58065,8,5.67742
test_1_5.txt,31,5,0.3,BST,11,5.02304,10,7.28387,11,6.61649,11,6.17563,9,5.87097,9,4.48387,8,5.83871
test_1_5.txt,31,5,0.3,AVL,6,4.34716,5,5,16,12.8351,11,9.71685,16,10.1935,11,6.96774,5,3.54839
test_1_5.txt,31,5,0.3,Treap,10,5.18356,10,7.50376,19,8.55197,11,6.89247,11,6.25806,8,5.67742,8,4.45161
test_1_5.txt,31,5,0.3,Splay,29,9.99539,15,8.55161,25,13.1004,22,10.4086,17,10.0323,18,7.45161,8,5.67742
test_1_5.txt,31,5,0.4,BST,10,4.7948,9,7.0586,10,6.53495,10,5.98387,9,5.87097,7,4.70968,8,5.83871
test_1_5.txt,31,5,0.4,AVL,6,4.34946,5,5,16,12.8226,11,9.56452,16,10.1935,11,7.35484,5,3.54839
test_1_5.txt,31,5,0.4,Treap,13,5.44355,13,8.29194,20,8.93011,14,7.08065,11,6.25806,14,5.96774,8,4.45161
test_1_5.txt,31,5,0.4,Splay,23,9.85484,15,8.56936,25,13.3763,25,10.4086,17,10.0323,18,7.22581,8,5.67742
test_1_5.txt,31,5,0.5,BST,11,4.94516,10,7.1586,11,6.3914,11,5.88387,9,5.87097,9,4.67742,8,5.83871
test_1_5.txt,31,5,0.5,AVL,6,4.35699,5,5,16,12.4989,11,9.60645,16,10.1935,11,7.25806,5,3.54839
test_1_5.txt,31,5,0.5,Treap,12,5.18387,12,7.97097,25,8.98065,13,6.96344,11,6.25806,11,5.35484,8,4.45161
test_1_5.txt,31,5,0.5,Splay,29,9.69893,16,8.66667,27,13.0043,31,10.686,17,10.0323,14,6.3871,8,5.67742
test_1_5.txt,31,5,0.6,BST,10,4.83333,10,7.16183,11,6.45699,11,6.03405,9,5.87097,8,4.35484,8,5.83871
test_1_5.txt,31,5,0.6,AVL,6,4.29435,5,4.99946,16,12.7222,11,9.62186,16,10.1935,10,6.96774,5,3.54839
test_1_5.txt,31,5,0.6,Treap,12,5.33468,12,7.96183,19,8.68996,13,6.90143,11,6.25806,10,5.3871,8,4.45161
test_1_5.txt,31,5,0.6,Splay,27,10.1586,14,8.70645,29,13.2509,25,10.5896,17,10.0323,16,7.35484,8,5.67742
test_1_5.txt,31,5,0.7,BST,10,5.0233,11,7.46344,12,6.58833,12,6.01229,9,5.87097,7,4.19355,8,5.83871
test_1_5.txt,31,5,0.7,AVL,6,4.32796,5,4.99946,16,12.6052,11,9.67742,16,10.1935,11,7.22581,5,3.54839
test_1_5.txt,31,5,0.7,Treap,12,5.36022,11,8.15161,21,8.96774,13,7.08449,11,6.25806,8,5.16129,8,4.45161
test_1_5.txt,31,5,0.7,Splay,27,9.94982,16,8.77796,31,12.914,26,10.5899,17,10.0323,17,7.67742,8,5.67742
test_1_5.txt,31,5,0.8,BST,10,4.84409,11,7.3086,12,6.54839,11,6.04167,9,5.87097,7,4.22581,8,5.83871
test_1_5.txt,31,5,0.8,AVL,6,4.28763,5,4.99946,16,12.547,11,9.63038,16,10.1935,10,7.09677,5,3.54839
test_1_5.txt,31,5,0.8,Treap,12,5.46774,13,8.38226,25,9.12903,13,7.04704,11,6.25806,9,4.96774,8,4.45161
test_1_5.txt,31,5,0.8,Splay,27,10.1075,15,8.64086,27,12.8925,27,10.6089,17,10.0323,15,6.54839,8,5.67742
test_1_5.txt,31,5,0.9,BST,12,4.95161,11,7.15484,12,6.49582,11,5.99881,9,5.87097,10,4.70968,8,5.83871
test_1_5.txt,31,5,0.9,AVL,6,4.41398,5,4.99839,16,12.6117,11,9.71207,16,10.1935,11,7,5,3.54839
test_1_5.txt,31,5,0.9,Treap,11,5.20968,13,8.1543,22,8.84588,13,7.20311,11,6.25806,11,5.67742,8,4.45161
test_1_5.txt,31,5,0.9,Splay,21,9.4086,15,8.6715,31,13.2628,26,10.546,17,10.0323,18,6.77419,8,5.67742
test_1_6.txt,63,6,0.1,BST,14,6.35303,13,9.85556,14,7.92593,13,7.56614,13,7.47619,9,5.4127,12,8.55556
test_1_6.txt,63,6,0.1,AVL,7,5.23898,6,6,18,14.7831,13,11.8042,18,12.381,13,9.12698,6,4.66667
test_1_6.txt,63,6,0.1,Treap,13,6.24897,12,9.8291,22,10.2328,13,8.12169,17,7.79365,12,6.14286,10,6.49206
test_1_6.txt,63,6,0.1,Splay,33,12.6155,20,11.1717,33,16.2063,26,13.8836,23,12.3968,21,9.85714,11,8.06349
test_1_6.txt,63,6,0.2,BST,13,6.12004,12,9.69656,13,7.57672,13,7.21164,13,7.47619,9,5.52381,12,8.55556
test_1_6.txt,63,6,0.2,AVL,8,5.22222,7,6.03148,18,14.746,15,11.664,18,12.381,13,8.98413,6,4.66667
test_1_6.txt,63,6,0.2,Treap,13,6.24405,14,9.70397,24,10.0794,13,8.08466,17,7.79365,14,6.66667,10,6.49206
test_1_6.txt,63,6,0.2,Splay,37,12.7784,19,11.2225,33,16.2487,29,13.1984,23,12.3968,21,9.33333,11,8.06349
test_1_6.txt,63,6,0.3,BST,14,6.10431,13,9.40767,14,7.79894,13,7.36508,13,7.47619,8,5.38095,12,8.55556
