test_case,n,N,alpha,algorithm,search_worst,search_average,usearch_worst,usearch_average,set_key_worst,set_key_average,delete_key_worst,delete_key_average,set_all_worst,set_all_average,delete_all_worst,delete_all_average
test_2_4.txt,16,10,1.5,Coalesced,3,1.625,3,1.3125,15,4.8125,4,1.72917,7,2.8125,4,2
test_2_4.txt,16,8,2,Chained,4,2.72917,4,3,5,3.6875,5,3.77083,4,2.6875,5,3.3125
test_2_4.txt,16,8,2,Linear,11,4.54167,16,16,16,8.3125,28,18.5208,19,5.25,17,5.4375
test_2_4.txt,16,8,2,Cuckoo,2,1.3125,2,2,65,4.60417,2,1.29167,68,9.625,2,1.4375
test_2_4.txt,16,8,2,Coalesced,2,1.20833,5,1.22917,6,2.14583,4,1.5625,8,2.875,3,1.5
test_2_4.txt,16,6,2.5,Chained,8,4.27083,8,3.54167,9,3.72917,9,4.875,8,3.75,5,3.5
test_2_4.txt,16,6,2.5,Linear,4,1.33333,8,3.0625,8,2.22917,8,4.10417,29,5.125,8,2.75
test_2_4.txt,16,6,2.5,Cuckoo,2,1.33333,2,2,6,3.29167,2,1.375,62,11.4375,2,1.5625
test_2_4.txt,16,6,2.5,Coalesced,2,1.25,2,1.08333,8,4.04167,3,1.70833,5,2.75,3,1.5
test_2_4.txt,16,5,3,Chained,6,3.6875,6,4.25,7,4.75,7,4.45833,6,3.375,5,3.6875
test_2_4.txt,16,5,3,Linear,5,1.8125,9,3.83333,8,3.70833,9,5.1875,26,4.4375,8,3.25
test_2_4.txt,16,5,3,Cuckoo,2,1.33333,2,2,6,3.29167,2,1.375,62,11.4375,2,1.5625
test_2_4.txt,16,5,3,Coalesced,3,1.625,3,1.3125,15,4.8125,4,1.72917,7,3.0625,4,2
test_2_4.txt,16,4,3.5,Chained,6,4.125,6,5.125,7,5.5625,7,4.89583,6,3.6875,6,3.625
test_2_4.txt,16,4,3.5,Linear,11,4.54167,16,16,16,8.3125,28,18.5208,19,5.875,17,5.4375
test_2_4.txt,16,4,3.5,Cuckoo,2,1.3125,2,2,65,4.60417,2,1.29167,68,10.875,2,1.4375
test_2_4.txt,16,4,3.5,Coalesced,2,1.20833,5,1.22917,6,2.14583,4,1.5625,8,3.0625,3,1.5
test_2_4.txt,16,4,4,Chained,6,4.125,6,5.125,7,5.5625,7,4.89583,6,3.6875,6,3.625
test_2_4.txt,16,4,4,Linear,11,4.54167,16,16,16,8.3125,28,18.5208,19,5.875,17,5.4375
test_2_4.txt,16,4,4,Cuckoo,2,1.3125,2,2,65,4.60417,2,1.29167,68,10.875,2,1.4375
test_2_4.txt,16,4,4,Coalesced,2,1.20833,5,1.22917,6,2.14583,4,1.5625,8,3.0625,3,1.5
test_2_5.txt,32,320,0.1,Chained,3,2.11458,3,1.07292,4,2.0625,4,3.09375,3,2.09375,4,3.03125
test_2_5.txt,32,320,0.1,Linear,2,1.11458,4,1.08333,4,1.07292,5,2.42708,2,1.09375,4,2.125
test_2_5.txt,32,320,0.1,Cuckoo,2,1.125,2,2,4,3.07292,2,1.1875,4,3.09375,2,1.1875
test_2_5.txt,32,320,0.1,Coalesced,2,1.11458,2,1.01042,7,1.34375,3,1.39583,3,1.3125,3,1.3125
test_2_5.txt,32,160,0.2,Chained,3,2.11458,3,1.11458,4,2.08333,4,3.09375,3,2.09375,4,3.03125
test_2_5.txt,32,160,0.2,Linear,2,1.11458,6,1.23958,4,1.11458,6,2.72917,2,1.09375,4,2.3125
test_2_5.txt,32,160,0.2,Cuckoo,2,1.3125,2,2,6,3.17708,2,1.42708,4,3.21875,2,1.3125
test_2_5.txt,32,160,0.2,Coalesced,2,1.21875,2,1.08333,8,1.60417,3,1.4375,3,1.375,3,1.375
