test_case,n,N,alpha,algorithm,search_worst,search_average,usearch_worst,usearch_average,set_key_worst,set_key_average,delete_key_worst,delete_key_average,set_all_worst,set_all_average,delete_all_worst,delete_all_average
test_1_4.txt,16,160,0.1,Chained,3,2.10417,2,1.10417,3,2.10417,4,3.04167,3,2.0625,4,3.0625
test_1_4.txt,16,160,0.1,Linear,2,1.10417,3,1.125,3,1.125,3,2.27083,2,1.0625,3,2.125
test_1_4.txt,16,160,0.1,Cuckoo,2,1.10417,2,2,4,3.125,2,1.125,4,3.0625,2,1.1875
test_1_4.txt,16,160,0.1,Coalesced,1,1,1,1,3,1.20833,1,1,1,1,1,1
test_1_4.txt,16,80,0.2,Chained,3,2.10417,2,1.1875,3,2.20833,4,3.04167,3,2.0625,4,3.0625
test_1_4.txt,16,80,0.2,Linear,3,1.22917,3,1.22917,3,1.25,4,2.5625,2,1.125,3,2.25
test_1_4.txt,16,80,0.2,Cuckoo,2,1.25,2,2,5,3.27083,2,1.29167,4,3.125,2,1.25
test_1_4.txt,16,80,0.2,Coalesced,2,1.0625,2,1.02083,3,1.25,3,1.04167,3,1.125,3,1.125
test_1_4.txt,16,53,0.3,Chained,2,2,2,1.27083,3,2.41667,3,3,2,2,3,3
test_1_4.txt,16,53,0.3,Linear,1,1,3,1.29167,3,1.47917,3,2.16667,1,1,3,2.125
test_1_4.txt,16,53,0.3,Cuckoo,2,1.41667,2,2,6,3.3125,2,1.35417,4,3.1875,2,1.4375
test_1_4.txt,16,53,0.3,Coalesced,2,1.22917,1,1,4,1.60417,3,1.33333,3,1.375,3,1.375
test_1_4.txt,16,40,0.4,Chained,3,2.14583,3,1.33333,4,2.39583,4,3.10417,3,2.125,4,3.0625
test_1_4.txt,16,40,0.4,Linear,3,1.27083,4,1.52083,4,1.64583,4,2.89583,2,1.1875,4,2.4375
test_1_4.txt,16,40,0.4,Cuckoo,2,1.35417,2,2,5,3.33333,2,1.47917,4,3.25,2,1.3125
test_1_4.txt,16,40,0.4,Coalesced,2,1.0625,2,1.02083,3,1.54167,3,1.04167,3,1.125,3,1.125
test_1_4.txt,16,32,0.5,Chained,5,2.66667,5,1.5625,6,2.5,6,3.47917,5,2.5625,6,3.4375
test_1_4.txt,16,32,0.5,Linear,9,2.33333,12,3.6875,11,2.5625,12,6.5,7,2.125,7,3.3125
test_1_4.txt,16,32,0.5,Cuckoo,2,1.58333,2,2,11,4.1875,2,1.45833,6,3.5625,2,1.5
test_1_4.txt,16,32,0.5,Coalesced,3,1.22917,1,1,4,1.95833,4,1.5,4,1.4375,4,1.4375
test_1_4.txt,16,26,0.6,Chained,3,2.1875,3,1.5,4,2.5,4,3.3125,3,2.3125,4,3.125
test_1_4.txt,16,26,0.6,Linear,3,1.22917,6,2.47917,6,2.10417,6,3.6875,3,1.375,6,2.75
test_1_4.txt,16,26,0.6,Cuckoo,2,1.45833,2,2,63,5.0625,2,1.41667,10,4.0625,2,1.5
test_1_4.txt,16,26,0.6,Coalesced,4,1.45833,4,1.125,6,2.3125,5,1.1875,8,1.875,5,1.6875
test_1_4.txt,16,22,0.7,Chained,5,2.39583,5,1.52083,6,2.58333,6,3.375,5,2.4375,6,3.25
test_1_4.txt,16,22,0.7,Linear,10,2.29167,13,4.20833,12,3.97917,13,7.58333,9,2.6875,10,4.375
test_1_4.txt,16,22,0.7,Cuckoo,2,1.54167,2,2,9,4.5,2,1.5,6,3.625,2,1.4375
test_1_4.txt,16,22,0.7,Coalesced,3,1.41667,2,1.10417,8,3.33333,4,1.625,4,1.9375,5,1.875
test_1_4.txt,16,20,0.8,Chained,3,2.25,3,1.66667,4,2.52083,4,3.27083,3,2.25,4,3.125
test_1_4.txt,16,20,0.8,Linear,8,1.77083,9,3.875,9,3.8125,9,6.16667,7,1.75,8,3.125
test_1_4.txt,16,20,0.8,Cuckoo,2,1.5,2,2,10,5.875,2,1.5,8,3.6875,2,1.5
test_1_4.txt,16,20,0.8,Coalesced,3,1.58333,3,1.27083,14,4.9375,4,1.79167,4,2.25,4,1.9375
test_1_4.txt,16,17,0.9,Chained,4,2.4375,4,1.625,5,2.625,5,3.45833,4,2.4375,5,3.25
